2025-01-08 10:35:48,934: IDs: [np.int64(67), np.int64(12), np.int64(4), np.int64(8), np.int64(6), np.int64(99), np.int64(3), np.int64(38), np.int64(31), np.int64(81), np.int64(1), np.int64(28), np.int64(15), np.int64(51), np.int64(8), np.int64(85)]
2025-01-08 10:35:48,934: Objs: [33, 43, 9, 26, 28, 32, 3, 1, 44, 29, 30, 10, 31, 0, 11, 28]
2025-01-08 10:35:48,934: Actions: [2, 1, 3, 2, 4, 4, 4, 3, 1, 1, 3, 4, 3, 1, 2, 1]
2025-01-08 10:35:48,935: IDs: [np.int64(68), np.int64(4), np.int64(14), np.int64(9), np.int64(5), np.int64(98), np.int64(2), np.int64(48), np.int64(23), np.int64(71), np.int64(13), np.int64(27), np.int64(23), np.int64(41), np.int64(9), np.int64(75)]
2025-01-08 10:35:48,935: Objs: [24, 30, 17, 43, 30, 8, 28, 31, 11, 42, 4, 36, 11, 11, 4, 12]
2025-01-08 10:35:48,935: Actions: [1, 3, 1, 2, 4, 1, 4, 3, 1, 1, 3, 3, 1, 2, 4, 2]
2025-01-08 10:35:48,936: IDs: [np.int64(58), np.int64(12), np.int64(4), np.int64(10), np.int64(4), np.int64(88), np.int64(1), np.int64(58), np.int64(15), np.int64(61), np.int64(25), np.int64(37), np.int64(15), np.int64(42), np.int64(8), np.int64(76)]
2025-01-08 10:35:48,936: Objs: [25, 43, 9, 29, 13, 3, 32, 28, 35, 20, 31, 12, 31, 14, 11, 44]
2025-01-08 10:35:48,936: Actions: [1, 1, 4, 2, 0, 1, 4, 4, 0, 2, 1, 0, 3, 4, 3, 3]
2025-01-08 10:35:48,937: IDs: [np.int64(48), np.int64(4), np.int64(3), np.int64(11), np.int64(4), np.int64(78), np.int64(0), np.int64(57), np.int64(15), np.int64(62), np.int64(13), np.int64(37), np.int64(23), np.int64(41), np.int64(20), np.int64(86)]
2025-01-08 10:35:48,937: Objs: [23, 30, 17, 44, 13, 34, 21, 3, 35, 42, 4, 12, 11, 11, 35, 27]
2025-01-08 10:35:48,937: Actions: [4, 3, 4, 3, 3, 3, 2, 1, 3, 1, 1, 1, 3, 1, 4, 4]
2025-01-08 10:35:48,938: IDs: [np.int64(47), np.int64(12), np.int64(2), np.int64(23), np.int64(12), np.int64(88), np.int64(1), np.int64(47), np.int64(23), np.int64(52), np.int64(1), np.int64(27), np.int64(31), np.int64(31), np.int64(19), np.int64(85)]
2025-01-08 10:35:48,938: Objs: [38, 43, 11, 11, 43, 3, 32, 9, 11, 27, 30, 36, 28, 29, 44, 28]
2025-01-08 10:35:48,938: Actions: [3, 4, 3, 4, 3, 4, 3, 1, 4, 3, 2, 1, 4, 1, 4, 1]
2025-01-08 10:35:48,938: IDs: [np.int64(57), np.int64(11), np.int64(12), np.int64(22), np.int64(20), np.int64(87), np.int64(13), np.int64(37), np.int64(22), np.int64(62), np.int64(2), np.int64(17), np.int64(30), np.int64(21), np.int64(18), np.int64(75)]
2025-01-08 10:35:48,939: Objs: [2, 43, 7, 41, 27, 9, 29, 37, 2, 42, 25, 28, 10, 43, 30, 12]
2025-01-08 10:35:48,939: Actions: [4, 4, 0, 4, 1, 1, 0, 3, 3, 2, 4, 2, 2, 2, 3, 0]
2025-01-08 10:35:48,939: IDs: [np.int64(56), np.int64(10), np.int64(12), np.int64(21), np.int64(12), np.int64(77), np.int64(13), np.int64(47), np.int64(30), np.int64(63), np.int64(1), np.int64(18), np.int64(31), np.int64(22), np.int64(30), np.int64(75)]
2025-01-08 10:35:48,939: Objs: [37, 11, 7, 9, 43, 4, 29, 9, 10, 24, 30, 19, 28, 10, 17, 12]
2025-01-08 10:35:48,939: Actions: [0, 1, 1, 0, 0, 1, 4, 3, 1, 3, 0, 3, 3, 3, 1, 0]
2025-01-08 10:35:48,940: IDs: [np.int64(56), np.int64(2), np.int64(2), np.int64(21), np.int64(12), np.int64(67), np.int64(12), np.int64(57), np.int64(22), np.int64(73), np.int64(1), np.int64(28), np.int64(39), np.int64(32), np.int64(18), np.int64(75)]
2025-01-08 10:35:48,940: Objs: [37, 7, 11, 9, 43, 24, 37, 3, 2, 20, 30, 10, 34, 14, 30, 12]
2025-01-08 10:35:48,940: Actions: [3, 4, 0, 2, 2, 1, 2, 4, 3, 4, 2, 2, 3, 1, 4, 2]
2025-01-08 10:35:48,941: IDs: [np.int64(66), np.int64(1), np.int64(2), np.int64(22), np.int64(13), np.int64(57), np.int64(13), np.int64(56), np.int64(30), np.int64(72), np.int64(2), np.int64(29), np.int64(47), np.int64(22), np.int64(17), np.int64(76)]
2025-01-08 10:35:48,941: Objs: [10, 9, 11, 41, 35, 34, 29, 17, 10, 36, 25, 2, 1, 10, 9, 44]
2025-01-08 10:35:48,941: Actions: [1, 3, 2, 4, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 1]
2025-01-08 10:35:48,942: IDs: [np.int64(56), np.int64(9), np.int64(3), np.int64(21), np.int64(21), np.int64(67), np.int64(25), np.int64(46), np.int64(38), np.int64(82), np.int64(14), np.int64(39), np.int64(55), np.int64(23), np.int64(29), np.int64(66)]
2025-01-08 10:35:48,942: Objs: [37, 38, 17, 9, 27, 24, 33, 39, 16, 34, 38, 10, 9, 0, 3, 7]
2025-01-08 10:35:48,942: Actions: [1, 4, 4, 1, 1, 1, 3, 1, 2, 3, 1, 4, 4, 2, 2, 1]
2025-01-08 10:35:48,942: IDs: [np.int64(46), np.int64(8), np.int64(2), np.int64(9), np.int64(13), np.int64(57), np.int64(37), np.int64(36), np.int64(39), np.int64(92), np.int64(2), np.int64(38), np.int64(54), np.int64(24), np.int64(30), np.int64(56)]
2025-01-08 10:35:48,943: Objs: [3, 11, 11, 43, 35, 34, 7, 37, 35, 8, 25, 21, 19, 3, 17, 40]
2025-01-08 10:35:48,943: Actions: [3, 3, 4, 3, 0, 4, 1, 2, 3, 4, 0, 1, 3, 2, 4, 2]
